DyadID,ParticipantID,TrialNum,ClickPresence
20231023,2,3,3
20231023,2,4,3
20231023,2,5,0
20231023,2,6,0
20231023,2,7,0
20231023,2,8,3
20231023,2,9,0
20231023,2,10,3
20231023,2,11,4
20231023,2,12,0
20231023,2,13,4
20231023,2,14,0
20231023,2,15,3
20231023,2,16,4
20231023,2,17,4
20231023,2,18,4
21231027,1,1,1
21231027,1,2,2
21231027,1,3,2
21231027,1,4,0
21231027,1,5,3
21231027,1,6,3
21231027,1,7,3
21231027,1,8,3
21231027,1,9,3
21231027,1,10,3
21231027,1,11,3
21231027,1,12,3
21231027,1,13,2
21231027,1,14,2
21231027,1,15,3
21231027,1,16,3
21231027,1,17,3
21231027,1,18,3
21231027,2,1,4
21231027,2,2,0
21231027,2,3,4
21231027,2,4,4
21231027,2,5,4
21231027,2,6,4
21231027,2,7,4
21231027,2,8,4
21231027,2,9,4
21231027,2,10,4
21231027,2,11,4
21231027,2,12,4
21231027,2,13,4
21231027,2,14,4
21231027,2,15,4
21231027,2,16,4
21231027,2,17,4
21231027,2,18,4
22231030,1,1,0
22231030,1,2,2
22231030,1,3,0
22231030,1,4,2
22231030,1,5,2
22231030,1,6,2
22231030,1,7,2
22231030,1,8,2
22231030,1,9,2
22231030,1,10,2
22231030,1,11,0
22231030,1,12,2
22231030,1,13,2
22231030,1,14,2
22231030,1,15,2
22231030,1,16,3
22231030,1,17,3
22231030,1,18,3
22231030,2,1,2
22231030,2,2,3
22231030,2,3,2
22231030,2,4,0
22231030,2,5,2
22231030,2,6,2
22231030,2,7,3
22231030,2,8,3
22231030,2,9,3
22231030,2,10,3
22231030,2,11,3
22231030,2,12,0
22231030,2,13,4
22231030,2,14,4
22231030,2,15,4
22231030,2,16,3
22231030,2,17,2
22231030,2,18,4
23231101,1,1,1
23231101,1,2,1
23231101,1,3,3
23231101,1,4,3
23231101,1,5,4
23231101,1,6,2
23231101,1,7,2
23231101,1,8,3
23231101,1,9,3
23231101,1,10,3
23231101,1,11,3
23231101,1,12,3
23231101,1,13,4
23231101,1,14,2
23231101,1,15,3
23231101,1,16,3
23231101,1,17,2
23231101,1,18,3
23231101,2,1,2
23231101,2,2,3
23231101,2,3,3
23231101,2,4,4
23231101,2,5,4
23231101,2,6,4
23231101,2,7,3
23231101,2,8,3
23231101,2,9,3
23231101,2,10,4
23231101,2,11,0
23231101,2,12,3
23231101,2,13,3
23231101,2,14,3
23231101,2,15,3
23231101,2,16,3
23231101,2,17,3
23231101,2,18,4
24231107,1,1,3
24231107,1,2,3
24231107,1,3,4
24231107,1,4,3
24231107,1,5,4
24231107,1,6,4
24231107,1,7,3
24231107,1,8,2
24231107,1,9,3
24231107,1,10,3
24231107,1,11,3
24231107,1,12,3
24231107,1,13,3
24231107,1,14,3
24231107,1,15,3
24231107,1,16,3
24231107,1,17,3
24231107,1,18,3
24231107,2,1,0
24231107,2,2,2
24231107,2,3,2
24231107,2,4,2
24231107,2,5,0
24231107,2,6,3
24231107,2,7,2
24231107,2,8,2
24231107,2,9,2
24231107,2,10,3
24231107,2,11,4
24231107,2,12,4
24231107,2,13,2
24231107,2,14,2
24231107,2,15,3
24231107,2,16,2
24231107,2,17,3
24231107,2,18,3
25231109,1,1,0
25231109,1,2,2
25231109,1,3,3
25231109,1,4,3
25231109,1,5,0
25231109,1,6,3
25231109,1,7,3
25231109,1,8,3
25231109,1,9,2
25231109,1,10,3
25231109,1,11,3
25231109,1,12,1
25231109,1,13,3
25231109,1,14,3
25231109,1,15,3
25231109,1,16,3
25231109,1,17,3
25231109,1,18,3
25231109,2,1,3
25231109,2,2,3
25231109,2,3,3
25231109,2,4,3
25231109,2,5,3
25231109,2,6,3
25231109,2,7,3
25231109,2,8,3
25231109,2,9,0
25231109,2,10,3
25231109,2,11,3
25231109,2,12,3
25231109,2,13,3
25231109,2,14,3
25231109,2,15,3
25231109,2,16,3
25231109,2,17,3
25231109,2,18,3
26231121,1,1,3
26231121,1,2,2
26231121,1,3,0
26231121,1,4,3
26231121,1,5,3
26231121,1,6,3
26231121,1,7,4
26231121,1,8,3
26231121,1,9,3
26231121,1,10,3
26231121,1,11,4
26231121,1,12,3
26231121,1,13,3
26231121,1,14,2
26231121,1,15,3
26231121,1,16,2
26231121,1,17,3
26231121,1,18,3
26231121,2,1,2
26231121,2,2,2
26231121,2,3,2
26231121,2,4,2
26231121,2,5,3
26231121,2,6,2
26231121,2,7,3
26231121,2,8,3
26231121,2,9,2
26231121,2,10,3
26231121,2,11,2
26231121,2,12,2
26231121,2,13,4
26231121,2,14,2
26231121,2,15,2
26231121,2,16,4
26231121,2,17,2
26231121,2,18,4
27231201,1,1,2
27231201,1,2,3
27231201,1,3,2
27231201,1,4,3
27231201,1,5,0
27231201,1,6,4
27231201,1,7,3
27231201,1,8,4
27231201,1,9,3
27231201,1,10,4
27231201,1,11,3
27231201,1,12,2
27231201,1,13,2
27231201,1,14,0
27231201,1,15,3
27231201,1,16,4
27231201,1,17,3
27231201,1,18,4
27231201,2,1,4
27231201,2,2,4
27231201,2,3,4
27231201,2,4,4
27231201,2,5,4
27231201,2,6,4
27231201,2,7,4
27231201,2,8,4
27231201,2,9,4
27231201,2,10,4
27231201,2,11,4
