DyadID,ParticipantID,TrialNum,ROI,Coh_PRE,Coh_POST
2,2,3,Parietal,0.212007,0.209833
2,2,3,Left,0.259382,0.238781
2,2,3,Right,0.246873,0.240660
2,2,3,FrontoParietal,0.215519,0.205339
2,2,4,Frontal,0.261398,0.240395
2,2,4,Central,0.471231,0.460123
2,2,4,Parietal,0.223589,0.233453
2,2,4,Left,0.279504,0.262940
2,2,4,Right,0.246990,0.269460
2,2,4,FrontoParietal,0.224137,0.226555
2,2,5,Frontal,0.243208,0.246081
2,2,5,Central,0.446790,0.398184
2,2,5,Parietal,0.240681,0.232367
2,2,5,Left,0.264677,0.263104
2,2,5,Right,0.265581,0.236570
2,2,5,FrontoParietal,0.228386,0.219098
2,2,6,Frontal,0.234148,0.259979
2,2,6,Central,0.427469,0.397095
2,2,6,Parietal,0.231860,0.251138
2,2,6,Left,0.242579,0.254098
2,2,6,Right,0.252851,0.296822
2,2,6,FrontoParietal,0.223008,0.240747
2,2,7,Frontal,0.256478,0.237124
2,2,7,Central,0.490246,0.446955
2,2,7,Parietal,0.277210,0.252725
2,2,7,Left,0.322734,0.277879
2,2,7,Right,0.288807,0.265002
2,2,7,FrontoParietal,0.259453,0.235590
2,2,8,Frontal,0.239843,0.234257
2,2,8,Central,0.358373,0.349987
2,2,8,Parietal,0.238342,0.247790
2,2,8,Left,0.280874,0.297149
2,2,8,Right,0.237351,0.247109
2,2,8,FrontoParietal,0.212315,0.227754
2,2,9,Frontal,0.256813,0.241288
2,2,9,Central,0.508264,0.452518
2,2,9,Parietal,0.248769,0.279880
2,2,9,Left,0.320827,0.303466
2,2,9,Right,0.245317,0.273298
2,2,9,FrontoParietal,0.238472,0.243016
2,2,10,Frontal,0.244095,0.248413
2,2,10,Central,0.499356,0.495341
2,2,10,Parietal,0.230682,0.250762
2,2,10,Left,0.299669,0.334334
2,2,10,Right,0.233577,0.260715
2,2,10,FrontoParietal,0.219501,0.239639
2,2,11,Frontal,0.241043,0.267414
2,2,11,Central,0.522690,0.561222
2,2,11,Parietal,0.247074,0.304274
2,2,11,Left,0.296675,0.368046
2,2,11,Right,0.277479,0.284622
2,2,11,FrontoParietal,0.237245,0.272879
2,2,12,Frontal,0.220624,0.238878
2,2,12,Central,0.448851,0.538368
2,2,12,Parietal,0.205576,0.239571
2,2,12,Left,0.240880,0.284501
2,2,12,Right,0.234660,0.269346
2,2,12,FrontoParietal,0.201157,0.230986
2,2,13,Frontal,0.245688,0.271314
2,2,13,Central,0.459612,0.521309
2,2,13,Parietal,0.291810,0.301767
2,2,13,Left,0.313052,0.353549
2,2,13,Right,0.277757,0.285981
2,2,13,FrontoParietal,0.248237,0.261679
2,2,14,Frontal,0.240584,0.239454
2,2,14,Central,0.446771,0.414058
2,2,14,Parietal,0.245068,0.254455
2,2,14,Left,0.301926,0.285679
2,2,14,Right,0.240526,0.271858
2,2,14,FrontoParietal,0.236514,0.225713
2,2,15,Frontal,0.237277,0.255207
2,2,15,Central,0.478284,0.450800
2,2,15,Parietal,0.229527,0.238753
2,2,15,Left,0.251139,0.250166
2,2,15,Right,0.250359,0.298656
2,2,15,FrontoParietal,0.223141,0.238403
2,2,16,Frontal,0.256412,0.219773
2,2,16,Central,0.451367,0.457220
2,2,16,Parietal,0.219067,0.231877
2,2,16,Left,0.266610,0.244129
2,2,16,Right,0.264318,0.240800
2,2,16,FrontoParietal,0.226609,0.215287
2,2,17,Frontal,0.228213,0.241195
2,2,17,Central,0.425647,0.281992
2,2,17,Parietal,0.213552,0.221703
2,2,17,Left,0.241596,0.271293
2,2,17,Right,0.260952,0.234010
2,2,17,FrontoParietal,0.208478,0.217918
2,2,18,Frontal,0.272776,0.219713
2,2,18,Central,0.373722,0.400925
2,2,18,Parietal,0.437276,0.205872
2,2,18,Left,0.293830,0.244314
2,2,18,Right,0.484380,0.228494
2,2,18,FrontoParietal,0.329725,0.204611
3,1,1,Frontal,0.218648,0.223076
3,1,1,Central,0.363384,0.361889
3,1,1,Parietal,0.208703,0.240074
3,1,1,Left,0.226645,0.258230
3,1,1,Right,0.207387,0.224837
3,1,1,FrontoParietal,0.220730,0.236543
3,1,2,Frontal,0.223023,0.211611
3,1,2,Central,0.305264,0.350689
3,1,2,Parietal,0.265976,0.233849
3,1,2,Left,0.265815,0.232135
3,1,2,Right,0.249485,0.243638
3,1,2,FrontoParietal,0.246197,0.226148
3,1,3,Frontal,0.214440,0.235457
3,1,3,Central,0.346472,0.343861
3,1,3,Parietal,0.251734,0.259028
3,1,3,Left,0.261665,0.267376
3,1,3,Right,0.240280,0.257856
3,1,3,FrontoParietal,0.232472,0.254300
3,1,4,Frontal,0.207865,0.206113
3,1,4,Central,0.316491,0.312499
3,1,4,Parietal,0.215270,0.242446
3,1,4,Left,0.244585,0.263537
3,1,4,Right,0.222643,0.215338
3,1,4,FrontoParietal,0.223461,0.228654
3,1,5,Frontal,0.201091,0.210033
3,1,5,Central,0.358344,0.343904
3,1,5,Parietal,0.226245,0.233177
3,1,5,Left,0.222709,0.254196
3,1,5,Right,0.229489,0.211961
3,1,5,FrontoParietal,0.221700,0.225650
3,1,6,Frontal,0.215940,0.217430
3,1,6,Central,0.396022,0.351115
3,1,6,Parietal,0.260417,0.236898
3,1,6,Left,0.249089,0.249698
3,1,6,Right,0.236968,0.227960
3,1,6,FrontoParietal,0.228270,0.233401
3,1,7,Frontal,0.219949,0.214336
3,1,7,Central,0.366803,0.388732
3,1,7,Parietal,0.260698,0.248359
3,1,7,Left,0.256284,0.235507
3,1,7,Right,0.242381,0.242980
3,1,7,FrontoParietal,0.242126,0.220002
3,1,8,Frontal,0.205733,0.214094
3,1,8,Central,0.366013,0.340275
3,1,8,Parietal,0.239227,0.230479
3,1,8,Left,0.237275,0.239560
3,1,8,Right,0.224179,0.245083
3,1,8,FrontoParietal,0.222410,0.230854
3,1,9,Frontal,0.225619,0.201412
3,1,9,Central,0.294224,0.324015
3,1,9,Parietal,0.252755,0.253508
3,1,9,Left,0.254187,0.239323
3,1,9,Right,0.264411,0.247030
3,1,9,FrontoParietal,0.251709,0.234407
3,1,10,Frontal,0.204320,0.195488
3,1,10,Central,0.332297,0.381102
3,1,10,Parietal,0.242878,0.239872
3,1,10,Left,0.242044,0.242923
3,1,10,Right,0.227946,0.223946
